,car_id,date_time,lat,lon,work_mode,mileage,speed,avg_fuel_consumption,system_mode,grid
1758,e2281,2017-02-19 21:25:31,31.262826,121.489656,ws,75066.0,0.0,7.6,x0,3.0
1945,e2281,2017-02-19 21:25:03,31.262822,121.489648,ws,75066.0,0.0,7.6,x0,3.0
1946,e2281,2017-02-19 21:25:18,31.262824,121.489656,ws,75066.0,0.0,7.6,x0,3.0
2127,e2281,2017-02-19 21:24:52,31.26282,121.489648,ws,75066.0,0.0,7.6,x0,3.0
2128,e2281,2017-02-19 21:24:43,31.262814,121.489656,ws,75066.0,0.0,7.6,x0,3.0
2528,e2281,2017-02-19 21:24:57,31.26282,121.489648,ws,75066.0,0.0,7.6,x0,3.0
2529,e2281,2017-02-19 21:25:08,31.262822,121.489648,ws,75066.0,0.0,7.6,x0,3.0
2721,e2281,2017-02-19 21:25:13,31.262824,121.489656,ws,75066.0,0.0,7.6,x0,3.0
3462,e2281,2017-02-19 21:24:38,31.26282,121.489672,ws,75066.0,0.0,7.6,x0,3.0
3463,e2281,2017-02-19 21:24:48,31.262818,121.489648,ws,75066.0,0.0,7.6,x0,3.0
3482,e4502,2017-02-19 10:02:29,31.284308000000006,121.47964,ws,42201.0,0.0,8.5,x0,48.0
3483,e4502,2017-02-19 10:03:37,31.284268,121.47952,ws,42201.0,0.0,8.5,x0,48.0
3484,e4502,2017-02-19 10:04:38,31.284136,121.47908,ws,42201.0,0.0,8.5,x0,48.0
3485,e4502,2017-02-19 10:06:49,31.284212,121.479168,ws,42201.0,0.0,8.5,x0,48.0
3486,e4502,2017-02-19 10:06:19,31.284226,121.479128,ws,42201.0,0.0,8.5,x0,48.0
3487,e4502,2017-02-19 10:20:55,31.27407,121.453056,ws,42205.0,0.0,8.5,x0,39.0
3488,e4502,2017-02-19 10:40:40,31.231646,121.448912,ws,42211.0,0.0,8.5,x0,37.0
3490,e4502,2017-02-19 10:41:38,31.231636,121.448912,ws,42211.0,0.0,8.5,x0,37.0
3492,e4502,2017-02-19 10:52:42,31.226722,121.443064,ws,42213.0,0.0,8.5,x0,35.0
3524,e4502,2017-02-19 12:52:58,31.236954,121.463696,ws,42249.0,0.0,8.5,x0,41.0
3559,e4502,2017-02-19 18:14:23,31.231006,121.44716,ws,42357.0,0.0,8.5,x0,37.0
3590,e4502,2017-02-19 10:02:14,31.28431,121.479656,ws,42201.0,0.0,8.5,x0,48.0
3591,e4502,2017-02-19 10:03:14,31.284266,121.479536,ws,42201.0,0.0,8.5,x0,48.0
3592,e4502,2017-02-19 10:06:39,31.28421,121.47916,ws,42201.0,0.0,8.5,x0,48.0
3593,e4502,2017-02-19 10:04:12,31.284202,121.47948,ws,42201.0,0.0,8.5,x0,48.0
3594,e4502,2017-02-19 10:05:36,31.28422,121.479152,ws,42201.0,0.0,8.5,x0,48.0
3595,e4502,2017-02-19 10:05:26,31.28416,121.47912,ws,42201.0,0.0,8.5,x0,48.0
3597,e4502,2017-02-19 10:21:59,31.27356,121.451744,ws,42205.0,0.0,8.5,x0,39.0
3598,e4502,2017-02-19 10:40:50,31.23165,121.448912,ws,42211.0,0.0,8.5,x0,37.0
3599,e4502,2017-02-19 10:41:18,31.231642,121.448904,ws,42211.0,0.0,8.5,x0,37.0
3600,e4502,2017-02-19 10:41:33,31.231638,121.448912,ws,42211.0,0.0,8.5,x0,37.0
3601,e4502,2017-02-19 10:48:46,31.226918,121.442352,ws,42212.0,0.0,8.5,x0,35.0
3602,e4502,2017-02-19 10:50:47,31.226768,121.44248799999998,ws,42212.0,0.0,8.5,x0,35.0
3603,e4502,2017-02-19 10:49:39,31.226786,121.442464,ws,42212.0,0.0,8.5,x0,35.0
3604,e4502,2017-02-19 10:49:54,31.226778000000003,121.442472,ws,42212.0,0.0,8.5,x0,35.0
3605,e4502,2017-02-19 10:52:31,31.226732,121.443056,ws,42213.0,0.0,8.5,x0,35.0
3702,e4502,2017-02-19 10:03:57,31.284218,121.479496,ws,42201.0,0.0,8.5,x0,48.0
3703,e4502,2017-02-19 10:03:42,31.284254,121.479512,ws,42201.0,0.0,8.5,x0,48.0
3704,e4502,2017-02-19 10:07:30,31.284204,121.479104,ws,42201.0,0.0,8.5,x0,48.0
3705,e4502,2017-02-19 10:08:33,31.284304,121.477,ws,42202.0,0.0,8.5,x0,48.0
3706,e4502,2017-02-19 10:08:39,31.2843,121.476992,ws,42202.0,0.0,8.5,x0,48.0
3708,e4502,2017-02-19 10:21:06,31.274066,121.453048,ws,42205.0,0.0,8.5,x0,39.0
3709,e4502,2017-02-19 10:22:09,31.273578000000004,121.451728,ws,42205.0,0.0,8.5,x0,39.0
3710,e4502,2017-02-19 10:23:04,31.273474,121.451512,ws,42205.0,0.0,8.5,x0,39.0
3711,e4502,2017-02-19 10:22:44,31.273472,121.45148799999998,ws,42205.0,0.0,8.5,x0,39.0
3714,e4502,2017-02-19 10:41:43,31.231636,121.448912,ws,42211.0,0.0,8.5,x0,37.0
