,car_id,date_time,lat,lon,work_mode,mileage,speed,avg_fuel_consumption,system_mode,grid
1667,e3102,2017-03-05 12:36:27,31.197286,121.417064,ws,95534.0,0.0,,x0,31.0
1669,e3102,2017-03-05 12:37:11,31.197304,121.417144,ws,95534.0,0.0,,x0,31.0
1670,e3102,2017-03-05 12:37:16,31.197302,121.41716,ws,95534.0,0.0,,x0,31.0
1671,e3102,2017-03-05 12:37:05,31.197298,121.41716,ws,95534.0,0.0,,x0,31.0
1817,e3102,2017-03-05 11:57:27,31.200496,121.393728,ws,95529.0,0.0,,x0,26.0
2019,e3102,2017-03-05 12:36:50,31.197298,121.417128,ws,95534.0,0.0,,x0,31.0
2553,e3102,2017-03-05 12:36:22,31.197274,121.417072,ws,95534.0,0.0,,x0,31.0
2738,e3102,2017-03-05 12:36:12,31.197248,121.417088,ws,95534.0,0.0,,x0,31.0
2739,e3102,2017-03-05 12:36:45,31.197298,121.417128,ws,95534.0,0.0,,x0,31.0
2884,e3102,2017-03-05 12:37:20,31.197304,121.417168,ws,95534.0,0.0,,x0,31.0
3067,e3102,2017-03-05 12:36:17,31.197256,121.417104,ws,95534.0,0.0,,x0,31.0
3068,e3102,2017-03-05 12:36:55,31.197298,121.417128,ws,95534.0,0.0,,x0,31.0
3069,e3102,2017-03-05 12:37:00,31.197286,121.41716,ws,95534.0,0.0,,x0,31.0
3165,e7957,2017-03-05 09:41:46,31.236704,121.482912,ws,133957.0,0.0,,x0,49.0
3166,e7957,2017-03-05 09:41:27,31.23664,121.482904,ws,133957.0,0.0,,x0,49.0
3167,e7957,2017-03-05 09:44:19,31.235672,121.477776,ws,133958.0,0.0,,x0,46.0
3168,e7957,2017-03-05 09:44:40,31.235736,121.477776,ws,133958.0,0.0,,x0,46.0
3170,e7957,2017-03-05 09:55:29,31.235858,121.476208,ws,133960.0,0.0,,x0,46.0
3242,e7957,2017-03-05 14:32:00,31.237716,121.458216,ws,134057.0,0.0,,x0,40.0
3292,e7957,2017-03-05 17:11:17,31.23728,121.45573600000002,ws,134108.0,0.0,,x0,40.0
3293,e7957,2017-03-05 17:09:59,31.237172,121.455816,ws,134108.0,0.0,,x0,40.0
3294,e7957,2017-03-05 17:10:54,31.23725,121.455776,ws,134108.0,0.0,,x0,40.0
3330,e7957,2017-03-05 19:29:20,31.24641,121.466704,ws,134148.0,0.0,,x0,19.0
3331,e7957,2017-03-05 19:29:25,31.24641,121.46671200000002,ws,134148.0,0.0,,x0,19.0
3332,e7957,2017-03-05 19:30:29,31.246384000000006,121.46663999999998,ws,134148.0,0.0,,x0,19.0
3333,e7957,2017-03-05 19:30:54,31.246384000000006,121.466648,ws,134148.0,0.0,,x0,19.0
3341,e7957,2017-03-05 19:48:31,31.26056,121.450256,ws,134152.0,0.0,,x0,38.0
