,car_id,date_time,lat,lon,work_mode,mileage,speed,avg_fuel_consumption,system_mode,grid
232,e5252,2017-01-29 12:49:12,31.22746,121.46804,ws,66819.0,0.0,7.6,x0,44.0
321,e5252,2017-01-29 18:02:01,31.172842,121.34288,ws,66928.0,0.0,7.6,x0,12.0
324,e5252,2017-01-29 18:02:11,31.17284,121.342872,ws,66928.0,0.0,7.6,x0,12.0
325,e5252,2017-01-29 18:02:16,31.172838,121.342864,ws,66928.0,0.0,7.6,x0,12.0
326,e5252,2017-01-29 18:03:29,31.172876,121.342904,ws,66928.0,0.0,7.6,x0,12.0
327,e5252,2017-01-29 18:03:34,31.172878000000004,121.342912,ws,66928.0,0.0,7.6,x0,12.0
328,e5252,2017-01-29 18:03:59,31.172882,121.342896,ws,66928.0,0.0,7.6,x0,12.0
397,e5252,2017-01-29 09:45:17,31.234834000000006,121.448912,ws,66754.0,0.0,7.6,x0,37.0
398,e5252,2017-01-29 09:45:22,31.234820000000006,121.448928,ws,66754.0,0.0,7.6,x0,37.0
399,e5252,2017-01-29 09:45:07,31.234934000000006,121.4488,ws,66754.0,0.0,7.6,x0,37.0
489,e5252,2017-01-29 15:08:19,31.246134,121.461352,ws,66856.0,0.0,7.6,x0,43.0
490,e5252,2017-01-29 15:07:51,31.246334,121.460232,ws,66856.0,54.61,7.6,x0,43.0
540,e5252,2017-01-29 18:03:49,31.17288,121.342904,ws,66928.0,0.0,7.6,x0,12.0
616,e5252,2017-01-29 09:45:27,31.234806,121.448944,ws,66754.0,0.0,7.6,x0,37.0
617,e5252,2017-01-29 09:46:08,31.234764,121.44904,ws,66754.0,0.0,7.6,x0,37.0
618,e5252,2017-01-29 09:45:12,31.234934000000006,121.4488,ws,66754.0,0.0,7.6,x0,37.0
619,e5252,2017-01-29 09:45:52,31.23478,121.449,ws,66754.0,0.0,7.6,x0,37.0
675,e5252,2017-01-29 12:49:07,31.227466,121.46804,ws,66819.0,0.0,7.6,x0,44.0
676,e5252,2017-01-29 12:49:33,31.227524,121.468208,ws,66819.0,12.09,7.6,x0,44.0
707,e5252,2017-01-29 15:08:39,31.24615,121.461376,ws,66856.0,0.0,7.6,x0,43.0
