,car_id,date_time,lat,lon,work_mode,mileage,speed,avg_fuel_consumption,system_mode,grid
22,e7695,2017-01-26 14:50:12,31.2607,121.44456,ws,36159.0,0.0,9.3,x0,36.0
89,e7695,2017-01-26 20:18:41,31.181384,121.439808,ws,36271.0,0.0,9.3,x0,17.0
90,e7695,2017-01-26 20:18:11,31.181486,121.43968,ws,36271.0,0.0,9.3,x0,17.0
91,e7695,2017-01-26 20:18:21,31.181514,121.43976,ws,36271.0,0.0,9.3,x0,17.0
139,e7695,2017-01-26 14:49:29,31.260702,121.44456,ws,36159.0,0.0,9.3,x0,36.0
141,e7695,2017-01-26 14:47:12,31.263894,121.442168,ws,36159.0,0.0,9.3,x0,36.0
254,e7695,2017-01-26 14:50:00,31.260706,121.44456,ws,36159.0,0.0,9.3,x0,36.0
255,e7695,2017-01-26 14:50:17,31.260698,121.44456,ws,36159.0,0.0,9.3,x0,36.0
306,e7695,2017-01-26 20:18:36,31.1815,121.439768,ws,36271.0,0.0,9.3,x0,17.0
307,e7695,2017-01-26 20:18:16,31.181502,121.439728,ws,36271.0,0.0,9.3,x0,17.0
350,e7695,2017-01-26 14:49:34,31.260704,121.44456,ws,36159.0,0.0,9.3,x0,36.0
373,e7695,2017-01-26 16:28:43,31.230864,121.373472,ws,36189.0,0.0,9.3,x0,6.0
518,e7695,2017-01-26 20:18:31,31.1815,121.439768,ws,36271.0,0.0,9.3,x0,17.0
567,e7695,2017-01-26 14:49:44,31.260716,121.444568,ws,36159.0,0.0,9.3,x0,36.0
568,e7695,2017-01-26 14:49:24,31.260698,121.44456,ws,36159.0,0.0,9.3,x0,36.0
680,e7695,2017-01-26 14:30:05,31.273096,121.451176,ws,36156.0,0.0,9.3,x0,39.0
685,e7695,2017-01-26 14:50:22,31.260698,121.44456,ws,36159.0,0.0,9.3,x0,36.0
706,e7695,2017-01-26 16:28:38,31.230864,121.37348,ws,36189.0,0.0,9.3,x0,6.0
748,e7695,2017-01-26 20:18:06,31.181486,121.439584,ws,36271.0,0.0,9.3,x0,17.0
784,e7695,2017-01-26 14:30:48,31.273092,121.450312,ws,36156.0,0.0,9.3,x0,39.0
791,e7695,2017-01-26 14:49:19,31.260692,121.44456,ws,36159.0,0.0,9.3,x0,36.0
811,e7695,2017-01-26 16:28:33,31.230866,121.373488,ws,36189.0,0.0,9.3,x0,6.0
897,e7695,2017-01-26 14:49:39,31.26071,121.44456,ws,36159.0,0.0,9.3,x0,36.0
959,e7695,2017-01-26 20:18:26,31.1815,121.439768,ws,36271.0,0.0,9.3,x0,17.0
1005,e7695,2017-01-26 14:49:49,31.260718,121.444568,ws,36159.0,0.0,9.3,x0,36.0
1006,e7695,2017-01-26 14:49:55,31.260714,121.444568,ws,36159.0,0.0,9.3,x0,36.0
1031,e7695,2017-01-26 16:28:28,31.230868,121.373496,ws,36189.0,0.0,9.3,x0,6.0
1122,e15320,2017-01-26 11:48:14,31.260808,121.450024,ws,57388.0,0.0,6.7,x0,38.0
1146,e15320,2017-01-26 12:56:50,31.226266,121.44312,ws,57407.0,0.0,6.7,x0,35.0
1147,e15320,2017-01-26 12:57:00,31.226262,121.443112,ws,57407.0,0.0,6.7,x0,35.0
1162,e15320,2017-01-26 17:06:48,31.228664,121.46952,ws,57429.0,0.0,6.7,x0,44.0
1163,e15320,2017-01-26 17:06:38,31.228692,121.46956000000002,ws,57429.0,0.0,6.7,x0,44.0
1252,e15320,2017-01-26 12:57:04,31.226266,121.443112,ws,57407.0,0.0,6.7,x0,35.0
1270,e15320,2017-01-26 17:07:51,31.228534000000003,121.46944,ws,57429.0,0.0,6.7,x0,44.0
1271,e15320,2017-01-26 17:07:02,31.228704,121.469448,ws,57429.0,0.0,6.7,x0,44.0
1341,e15320,2017-01-26 12:57:09,31.226272,121.44312,ws,57407.0,0.0,6.7,x0,35.0
1342,e15320,2017-01-26 12:56:35,31.226276,121.443136,ws,57407.0,0.0,6.7,x0,35.0
1359,e15320,2017-01-26 17:07:33,31.22848,121.469464,ws,57429.0,0.0,6.7,x0,44.0
1360,e15320,2017-01-26 17:07:56,31.228724,121.469424,ws,57429.0,0.0,6.7,x0,44.0
1361,e15320,2017-01-26 17:06:43,31.228674,121.469528,ws,57429.0,0.0,6.7,x0,44.0
1401,e15320,2017-01-26 11:48:19,31.260824,121.450072,ws,57388.0,0.0,6.7,x0,38.0
1423,e15320,2017-01-26 12:56:25,31.226296,121.443168,ws,57407.0,0.0,6.7,x0,35.0
1424,e15320,2017-01-26 12:56:30,31.226286,121.443152,ws,57407.0,0.0,6.7,x0,35.0
1446,e15320,2017-01-26 17:06:53,31.228646,121.469528,ws,57429.0,0.0,6.7,x0,44.0
1447,e15320,2017-01-26 17:06:33,31.22877,121.469568,ws,57429.0,0.0,6.7,x0,44.0
1519,e15320,2017-01-26 12:56:45,31.226268,121.44312,ws,57407.0,0.0,6.7,x0,35.0
1535,e15320,2017-01-26 17:07:18,31.228766,121.469384,ws,57429.0,0.0,6.7,x0,44.0
1536,e15320,2017-01-26 17:06:57,31.228644,121.469504,ws,57429.0,0.0,6.7,x0,44.0
1550,e15320,2017-01-26 18:29:09,31.197098,121.316296,ws,57462.0,0.0,6.7,x0,1.0
1616,e15320,2017-01-26 12:56:40,31.226272,121.443128,ws,57407.0,0.0,6.7,x0,35.0
1617,e15320,2017-01-26 12:57:14,31.226272,121.44312,ws,57407.0,0.0,6.7,x0,35.0
1636,e15320,2017-01-26 17:07:07,31.228766,121.469384,ws,57429.0,0.0,6.7,x0,44.0
1637,e15320,2017-01-26 17:06:28,31.22877,121.46963999999998,ws,57429.0,0.0,6.7,x0,44.0
1701,e15320,2017-01-26 12:57:19,31.226274,121.44312,ws,57407.0,0.0,6.7,x0,35.0
