,car_id,date_time,lat,lon,work_mode,mileage,speed,avg_fuel_consumption,system_mode,grid
2108,e10562,2017-02-11 19:44:16,31.238112,121.456048,ws,55433.0,0.0,8.3,x0,40.0
2260,e10562,2017-02-11 19:44:05,31.238094,121.456056,ws,55433.0,0.0,8.3,x0,40.0
2261,e10562,2017-02-11 19:44:31,31.238108,121.456048,ws,55433.0,0.0,8.3,x0,40.0
2262,e10562,2017-02-11 19:44:36,31.238096,121.456056,ws,55433.0,0.0,8.3,x0,40.0
2263,e10562,2017-02-11 19:45:01,31.238128000000003,121.456024,ws,55433.0,0.0,8.3,x0,40.0
2264,e10562,2017-02-11 19:44:56,31.23811,121.45604,ws,55433.0,0.0,8.3,x0,40.0
2342,e10562,2017-02-11 19:44:00,31.238088,121.456056,ws,55433.0,0.0,8.3,x0,40.0
2430,e10562,2017-02-11 19:44:51,31.238094,121.456048,ws,55433.0,0.0,8.3,x0,40.0
2467,e10562,2017-02-11 16:38:01,31.227274,121.467264,ws,55382.0,0.0,8.3,x0,44.0
2610,e10562,2017-02-11 19:44:21,31.238118,121.456048,ws,55433.0,0.0,8.3,x0,40.0
2686,e10562,2017-02-11 19:44:10,31.2381,121.456056,ws,55433.0,0.0,8.3,x0,40.0
2687,e10562,2017-02-11 19:44:46,31.238090000000003,121.456048,ws,55433.0,0.0,8.3,x0,40.0
2688,e10562,2017-02-11 19:43:55,31.238084000000004,121.456056,ws,55433.0,0.0,8.3,x0,40.0
2689,e10562,2017-02-11 19:44:26,31.238118,121.456048,ws,55433.0,0.0,8.3,x0,40.0
2874,e10562,2017-02-11 19:44:41,31.238086,121.456056,ws,55433.0,0.0,8.3,x0,40.0
2911,e8190,2017-02-11 10:00:35,31.239306,121.460128,ws,110982.0,0.0,16.8,x0,41.0
2912,e8190,2017-02-11 10:00:45,31.23927,121.460144,ws,110982.0,0.0,16.8,x0,41.0
3000,e8190,2017-02-11 16:42:15,31.29343,121.51528799999998,ws,111083.0,0.0,16.7,x0,22.0
