,car_id,date_time,lat,lon,power_mode,mileage,speed,fuel_consumption,grid
38,r65583,2017-02-18 22:42:15,31.206111,121.553958,dph,10211,74.1,538426,10.0
39,r65583,2017-02-18 22:42:20,31.206076,121.552863,dph,10211,74.2,538433,10.0
40,r65583,2017-02-18 22:42:25,31.205956,121.551771,dph,10211,75.7,538440,10.0
41,r65583,2017-02-18 22:42:30,31.20573,121.550682,dph,10212,75.5,538443,10.0
3322,r24580,2017-02-18 19:06:36,31.152445,121.514198,dph,11601,62.6,865933,4.0
3373,r24580,2017-02-18 19:35:07,31.152279,121.513234,dph,11612,68.8,866663,4.0
3374,r24580,2017-02-18 19:35:12,31.151978000000003,121.512256,dph,11612,70.9,866669,4.0
3375,r24580,2017-02-18 19:35:17,31.151725,121.511251,dph,11612,70.7,866673,4.0
3376,r24580,2017-02-18 19:35:22,31.15152,121.510238,dph,11612,71.0,866677,4.0
4069,r65583,2017-02-18 20:47:10,31.228139,121.469341,dph,10194,65.7,536818,44.0
4117,r47330,2017-02-18 09:05:43,31.237188,121.461318,dph,3377,14.7,311023,41.0
4118,r47330,2017-02-18 09:05:58,31.236236,121.461658,dph,3377,36.2,311036,41.0
4259,r31231,2017-02-18 19:17:15,31.238145000000006,121.460918,dph,6027,59.0,433368,41.0
4321,r17711,2017-02-18 12:48:08,31.282807,121.478367,dph,4818,44.9,278872,48.0
4347,r71509,2017-02-18 06:39:13,31.227673,121.468187,dph,9520,72.7,1146800,44.0
4489,r4456,2017-02-18 09:59:40,31.28425,121.476731,dph,3786,18.4,320065,48.0
4490,r4456,2017-02-18 10:00:50,31.28116,121.47738,dph,3786,18.5,320103,48.0
4829,r65836,2017-02-18 14:22:50,31.22633,121.46945,dph,8458,4.0,897807,44.0
4830,r65836,2017-02-18 14:22:55,31.226364,121.46937,dph,8458,15.6,897811,44.0
4832,r65836,2017-02-18 14:36:45,31.234684,121.449428,dph,8462,24.1,898252,37.0
4923,r48891,2017-02-18 14:20:37,31.239091,121.46013,dph,590,29.7,63919,41.0
4930,r48891,2017-02-18 14:47:27,31.225028,121.46995,dph,595,18.0,64602,44.0
4943,r48891,2017-02-18 18:23:39,31.226481,121.465049,dph,599,68.0,65226,44.0
5036,r35262,2017-02-18 15:19:23,31.276795,121.478646,dph,5600,10.8,246694,47.0
5037,r35262,2017-02-18 15:19:28,31.27686,121.478882,dph,5600,21.0,246699,47.0
5038,r35262,2017-02-18 15:19:38,31.277077,121.479488,dph,5600,16.5,246703,47.0
5039,r35262,2017-02-18 15:19:43,31.277183,121.479716,dph,5600,20.3,246707,47.0
5071,r35262,2017-02-18 16:40:58,31.225283,121.440221,dph,5616,9.1,248373,35.0
5072,r35262,2017-02-18 16:41:03,31.225313,121.440191,dph,5616,0.0,248375,35.0
5073,r35262,2017-02-18 16:41:13,31.225302000000006,121.44019,dph,5616,0.0,248377,35.0
5074,r35262,2017-02-18 16:41:18,31.225302000000006,121.440185,dph,5616,0.0,248378,35.0
5075,r35262,2017-02-18 16:41:33,31.225425,121.440102,dph,5616,11.7,248384,35.0
5076,r35262,2017-02-18 16:41:38,31.225529,121.440051,dph,5616,3.7,248386,35.0
5077,r35262,2017-02-18 16:41:53,31.225564,121.440065,dph,5616,0.2,248391,35.0
5078,r35262,2017-02-18 16:41:58,31.225597,121.44006,dph,5616,4.2,248392,35.0
5079,r35262,2017-02-18 16:45:28,31.226252,121.440715,dph,5616,0.1,248452,35.0
5080,r35262,2017-02-18 16:45:33,31.226267,121.440697,dph,5616,0.0,248453,35.0
5081,r35262,2017-02-18 16:45:48,31.226278000000004,121.440727,dph,5616,0.0,248458,35.0
5082,r35262,2017-02-18 16:46:03,31.226302,121.440737,dph,5616,0.8,248463,35.0
5083,r35262,2017-02-18 16:46:08,31.226305,121.440746,dph,5616,0.0,248464,35.0
5084,r35262,2017-02-18 16:46:23,31.226303,121.440776,dph,5616,0.0,248467,35.0
5085,r35262,2017-02-18 16:46:28,31.226303,121.440775,dph,5616,0.0,248468,35.0
5086,r35262,2017-02-18 16:46:38,31.226316,121.440781,dph,5616,3.3,248472,35.0
5087,r35262,2017-02-18 16:46:43,31.226346000000003,121.44081,dph,5616,3.3,248473,35.0
5154,r71329,2017-02-18 14:58:27,31.24582,121.466671,dph,2267,0.3,237401,19.0
5157,r71329,2017-02-18 15:25:07,31.237219,121.40785,dph,2278,19.5,238493,28.0
5169,r71329,2017-02-18 16:24:51,31.293311,121.439627,dph,2293,25.6,240141,18.0
5311,r8534,2017-02-18 00:05:51,31.262006,121.453951,dph,15310,51.6,1593666,38.0
5314,r8534,2017-02-18 00:10:01,31.258977,121.431683,dph,15312,23.9,1593819,33.0
5375,r8534,2017-02-18 18:02:16,31.173908,121.342032,dph,15394,9.5,1602836,12.0
5376,r8534,2017-02-18 18:03:11,31.172771,121.344849,dph,15395,22.2,1602875,12.0
5390,r8534,2017-02-18 19:52:33,31.201007,121.391939,dph,15422,66.0,1604998,26.0
5489,r42764,2017-02-18 22:15:24,31.277149,121.475252,dph,4299,18.9,508215,47.0
5490,r42764,2017-02-18 22:15:29,31.277134000000004,121.475366,dph,4299,0.1,508217,47.0
5571,r40282,2017-02-18 19:00:29,31.235006,121.462706,dph,11362,17.2,1074509,41.0
6015,r67013,2017-02-18 10:55:20,31.262336,121.394037,dph,1570,9.4,174226,15.0
6152,r13975,2017-02-18 18:20:52,31.201535,121.393139,dph,5672,71.0,518917,26.0
6297,r20602,2017-02-18 11:53:22,31.26404,121.485424,dph,9695,25.1,896440,3.0
