,car_id,date_time,lat,lon,power_mode,mileage,speed,fuel_consumption,grid
509,r63714,2017-01-25 12:06:24,31.262093,121.453566,dph,1763.0,0.0,221146.0,38.0
510,r63714,2017-01-25 12:06:29,31.262093,121.453566,dph,1763.0,0.0,221148.0,38.0
756,r24999,2017-01-25 13:56:13,31.235013,121.462441,dph,12887.0,0.0,1265200.0,41.0
777,r49289,2017-01-25 18:00:42,31.236374,121.476252,dph,24.0,2.1,3084.0,46.0
778,r49289,2017-01-25 18:00:47,31.236347,121.476281,dph,24.0,0.0,3086.0,46.0
861,r34086,2017-01-25 11:44:36,31.236748,121.484541,hsy,2216.0,0.0,216316.0,49.0
862,r34086,2017-01-25 11:44:41,31.236748,121.48453899999998,hsy,2216.0,0.0,216316.0,49.0
984,r24580,2017-01-25 18:39:47,31.191381,121.417318,dph,9195.0,3.2,703570.0,30.0
1046,r29972,2017-01-25 22:36:38,31.271678,121.452041,dph,15831.0,94.0,106375.0,39.0
1186,r63714,2017-01-25 12:16:09,31.262069,121.453583,dph,1763.0,2.9,221352.0,38.0
1187,r63714,2017-01-25 12:16:14,31.262098,121.453613,dph,1763.0,2.0,221355.0,38.0
1269,r24580,2017-01-25 18:39:17,31.191829,121.417993,dph,9195.0,3.0,703552.0,30.0
1774,r41332,2017-01-25 08:26:20,31.261283,121.444203,dph,5488.0,0.5,514461.0,36.0
1775,r41332,2017-01-25 08:26:25,31.26129,121.444204,dph,5488.0,0.0,514463.0,36.0
1776,r41332,2017-01-25 08:26:35,31.261141,121.444304,dph,5488.0,3.9,514472.0,36.0
1801,r41332,2017-01-25 11:01:25,31.23505,121.406567,dph,5520.0,56.1,517894.0,28.0
2240,r35953,2017-01-25 06:56:10,31.261942,121.390441,dph,4080.0,8.7,343080.0,15.0
2241,r35953,2017-01-25 06:56:15,31.261783,121.390372,dph,4080.0,15.5,343084.0,15.0
2283,r63714,2017-01-25 02:56:59,31.261903000000004,121.453601,dph,1763.0,14.7,220927.0,38.0
2313,r4060,2017-01-25 14:56:02,31.301041,121.508001,dph,8537.0,63.1,753361.0,50.0
2460,r67013,2017-01-25 17:14:01,31.256144,121.431924,dph,172.0,14.8,22905.0,33.0
2461,r67013,2017-01-25 17:14:06,31.256047,121.431695,dph,172.0,24.8,22910.0,33.0
2595,r47330,2017-01-25 13:24:53,31.226718,121.374405,dph,2678.0,61.3,247373.0,14.0
2596,r47330,2017-01-25 13:25:03,31.227082,121.372713,dph,2678.0,38.5,247376.0,14.0
2597,r47330,2017-01-25 13:25:08,31.227389,121.372446,dph,2678.0,38.3,247381.0,14.0
2769,r66276,2017-01-25 17:06:09,31.180278,121.436856,dph,315.0,42.1,30248.0,17.0
2809,r37292,2017-01-25 17:38:16,31.195345,121.379062,dph,4588.0,8.2,352079.0,25.0
2922,r31231,2017-01-25 22:35:52,31.233448,121.374796,dph,5252.0,62.7,366572.0,6.0
2970,r29972,2017-01-25 21:45:28,31.270659,121.452831,dph,15817.0,16.0,104718.0,39.0
3128,r9206,2017-01-25 18:06:49,31.225643,121.465183,dph,5395.0,19.7,539402.0,44.0
3129,r9206,2017-01-25 18:08:29,31.225054,121.465626,dph,5395.0,12.8,539429.0,44.0
3149,r9206,2017-01-25 22:05:50,31.276532,121.475513,dph,5410.0,31.1,541170.0,47.0
3150,r9206,2017-01-25 22:05:55,31.276877,121.475705,dph,5410.0,26.6,541172.0,47.0
3521,r71995,2017-01-25 15:48:39,31.22061,121.356642,dph,1558.0,42.0,191293.0,2.0
3562,r24580,2017-01-25 08:14:46,31.190472,121.417353,dph,9175.0,39.7,701944.0,30.0
3563,r24580,2017-01-25 08:15:06,31.191319,121.417417,dph,9175.0,12.0,701950.0,30.0
3585,r24580,2017-01-25 12:57:15,31.191748,121.418204,dph,9195.0,1.9,703479.0,30.0
3757,r40282,2017-01-25 17:47:29,31.231334000000004,121.448238,dph,9441.0,21.1,908358.0,37.0
3990,r37538,2017-01-25 19:33:15,31.231706,121.370785,dph,4063.0,22.2,257883.0,6.0
4053,r68521,2017-01-25 13:43:26,31.282988,121.478394,dph,3115.0,59.4,337085.0,48.0
