,car_id,date_time,lat,lon,power_mode,mileage,speed,fuel_consumption,grid
97,r73612,2017-01-27 16:28:08,31.210071000000006,121.412319,dph,10177.0,26.0,1201180.0,29.0
98,r73612,2017-01-27 16:28:13,31.210075,121.411703,dph,10177.0,43.8,1201191.0,29.0
656,r71192,2017-01-27 23:46:12,31.270731,121.452813,dph,1146.0,75.8,141678.0,39.0
1228,r71192,2017-01-27 22:43:10,31.259049,121.430376,dph,1089.0,49.0,137201.0,33.0
1229,r71192,2017-01-27 22:43:15,31.258908,121.431099,dph,1089.0,51.9,137208.0,33.0
1230,r71192,2017-01-27 22:43:20,31.258761,121.431867,dph,1089.0,53.2,137213.0,33.0
1231,r71192,2017-01-27 22:43:25,31.258624,121.432613,dph,1089.0,52.3,137218.0,33.0
1232,r71192,2017-01-27 22:43:30,31.258474,121.433374,dph,1089.0,50.8,137222.0,33.0
1233,r71192,2017-01-27 22:43:35,31.258351,121.434065,dph,1089.0,44.2,137223.0,33.0
1234,r71192,2017-01-27 22:43:40,31.258228000000006,121.434652,dph,1089.0,37.0,137223.0,33.0
1282,r71192,2017-01-27 22:47:45,31.261166,121.450933,dph,1091.0,69.9,137412.0,38.0
1283,r71192,2017-01-27 22:47:51,31.261428,121.452136,dph,1091.0,70.2,137418.0,38.0
1284,r71192,2017-01-27 22:47:56,31.261596,121.45293999999998,dph,1091.0,69.2,137428.0,38.0
1285,r71192,2017-01-27 22:48:01,31.261809000000003,121.45388,dph,1091.0,58.8,137432.0,38.0
1286,r71192,2017-01-27 22:48:06,31.261988,121.454641,dph,1091.0,41.6,137432.0,38.0
1317,r71192,2017-01-27 22:50:46,31.239963,121.459791,dph,1094.0,63.3,137630.0,40.0
1318,r71192,2017-01-27 22:50:51,31.239067,121.460251,dph,1094.0,67.0,137640.0,41.0
1319,r71192,2017-01-27 22:50:56,31.238422,121.460629,dph,1094.0,73.1,137654.0,41.0
1320,r71192,2017-01-27 22:51:01,31.237588,121.46112,dph,1094.0,70.1,137661.0,41.0
1321,r71192,2017-01-27 22:51:06,31.236814000000006,121.461527,dph,1094.0,68.5,137667.0,41.0
1322,r71192,2017-01-27 22:51:11,31.235944,121.461795,dph,1095.0,69.8,137674.0,41.0
1323,r71192,2017-01-27 22:51:16,31.235086,121.46196299999998,dph,1095.0,67.0,137678.0,41.0
1335,r71192,2017-01-27 22:52:16,31.225148,121.465803,dph,1096.0,84.9,137812.0,44.0
1414,r71192,2017-01-27 22:58:55,31.154139,121.481353,dph,1104.0,72.9,138373.0,8.0
1415,r71192,2017-01-27 22:59:00,31.153075,121.481731,dph,1104.0,74.5,138381.0,8.0
1416,r71192,2017-01-27 22:59:05,31.152175,121.482023,dph,1105.0,71.5,138388.0,8.0
1417,r71192,2017-01-27 22:59:10,31.151323,121.482329,dph,1105.0,69.8,138401.0,8.0
1418,r71192,2017-01-27 22:59:15,31.15065,121.482582,dph,1105.0,73.9,138415.0,8.0
1828,r71192,2017-01-27 23:34:57,31.15078,121.482701,dph,1132.0,91.8,140676.0,8.0
1829,r71192,2017-01-27 23:35:02,31.15191,121.482292,dph,1132.0,94.3,140690.0,8.0
1830,r71192,2017-01-27 23:35:07,31.153083,121.481874,dph,1132.0,97.3,140707.0,8.0
1831,r71192,2017-01-27 23:35:12,31.154234,121.48147,dph,1132.0,93.5,140712.0,8.0
1909,r71192,2017-01-27 23:41:57,31.225679,121.465339,dph,1141.0,73.7,141342.0,44.0
1920,r71192,2017-01-27 23:42:52,31.235628,121.461929,dph,1142.0,73.6,141397.0,41.0
1921,r71192,2017-01-27 23:42:57,31.236537,121.461707,dph,1142.0,73.2,141404.0,41.0
1922,r71192,2017-01-27 23:43:02,31.237408,121.461317,dph,1142.0,72.7,141411.0,41.0
1923,r71192,2017-01-27 23:43:07,31.238227,121.460831,dph,1143.0,73.0,141417.0,41.0
1924,r71192,2017-01-27 23:43:12,31.239052,121.46033,dph,1143.0,73.5,141421.0,41.0
1925,r71192,2017-01-27 23:43:17,31.239899,121.45989099999998,dph,1143.0,74.2,141428.0,40.0
1959,r71192,2017-01-27 23:46:17,31.27161,121.452269,dph,1146.0,79.6,141689.0,39.0
1960,r71192,2017-01-27 23:46:22,31.272497,121.451676,dph,1147.0,80.6,141698.0,39.0
1961,r71192,2017-01-27 23:46:27,31.273376000000006,121.45108,dph,1147.0,80.5,141705.0,39.0
1962,r71192,2017-01-27 23:46:32,31.274244,121.450471,dph,1147.0,81.5,141714.0,39.0
1994,r71192,2017-01-27 23:49:12,31.293442,121.439099,dph,1150.0,83.5,141947.0,18.0
1995,r71192,2017-01-27 23:49:17,31.293190000000006,121.43791,dph,1150.0,81.0,141951.0,18.0
1996,r71192,2017-01-27 23:49:22,31.292981,121.436761,dph,1150.0,77.2,141956.0,18.0
1997,r71192,2017-01-27 23:49:27,31.292802,121.43567,dph,1150.0,72.0,141958.0,18.0
4670,r34086,2017-01-27 20:42:59,31.205598,121.550642,dph,2332.0,75.2,226868.0,10.0
4671,r34086,2017-01-27 20:43:04,31.205821000000004,121.551731,dph,2332.0,76.4,226880.0,10.0
4672,r34086,2017-01-27 20:43:09,31.205963,121.552848,dph,2333.0,76.7,226887.0,10.0
4673,r34086,2017-01-27 20:43:14,31.205975,121.553981,dph,2333.0,76.1,226891.0,10.0
5743,r74957,2017-01-27 17:12:51,31.247182,121.467968,dph,2167.0,22.2,242489.0,19.0
5752,r72432,2017-01-27 08:49:32,31.22175,121.410406,dph,4063.0,15.6,450801.0,7.0
5769,r34086,2017-01-27 17:04:27,31.228808,121.442427,dph,2307.0,7.7,224886.0,35.0
5770,r34086,2017-01-27 17:04:32,31.228843,121.442433,dph,2307.0,0.0,224887.0,35.0
5771,r34086,2017-01-27 17:04:47,31.228913,121.442393,dph,2307.0,7.8,224894.0,35.0
5772,r34086,2017-01-27 20:06:09,31.226948,121.441456,dph,2308.0,7.2,225194.0,35.0
7977,r72432,2017-01-27 08:49:22,31.222388,121.410072,dph,4063.0,29.5,450795.0,7.0
7978,r72432,2017-01-27 08:49:27,31.221997,121.410274,dph,4063.0,34.9,450800.0,7.0
7979,r72432,2017-01-27 08:49:37,31.221935,121.410396,dph,4063.0,24.8,450807.0,7.0
7980,r72432,2017-01-27 08:49:42,31.222252,121.410217,dph,4063.0,30.9,450812.0,7.0
7981,r72432,2017-01-27 08:49:47,31.222597,121.410044,dph,4063.0,27.9,450814.0,7.0
7985,r72432,2017-01-27 08:50:07,31.223481,121.410015,dph,4064.0,14.7,450824.0,7.0
7986,r72432,2017-01-27 08:50:12,31.223525,121.410099,dph,4064.0,1.3,450826.0,7.0
7987,r72432,2017-01-27 08:50:17,31.223553000000006,121.410181,dph,4064.0,7.3,450830.0,7.0
7988,r72432,2017-01-27 08:50:22,31.223631,121.410215,dph,4064.0,6.3,450831.0,7.0
7989,r72432,2017-01-27 08:50:27,31.223646,121.410216,dph,4064.0,0.8,450833.0,7.0
